model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7,16,21,18,4,no
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6,16,21,18,4,no
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,CA,SUV,7,19,24,21,5,no
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,CA,SUV,7,17,22,19,4,no
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,FA,SUV,6,19,24,21,5,no
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,FA,SUV,6,17,22,19,4,no
ACURA RL,3.7,6.0,SemiAuto-5,4WD,Gasoline,CA,midsize car,7,16,22,18,4,no
ACURA RL,3.7,6.0,SemiAuto-5,4WD,Gasoline,FA,midsize car,6,16,22,18,4,no
ACURA TL,3.5,6.0,SemiAuto-5,2WD,Gasoline,CA,midsize car,7,18,26,21,5,no
ACURA TL,3.7,6.0,SemiAuto-5,4WD,Gasoline,CA,midsize car,7,17,25,20,5,no
ACURA TL,3.7,6.0,Man-6,4WD,Gasoline,CA,midsize car,7,17,25,20,5,no
ACURA TL,3.5,6.0,SemiAuto-5,2WD,Gasoline,FA,midsize car,6,18,26,21,5,no
ACURA TL,3.7,6.0,SemiAuto-5,4WD,Gasoline,FA,midsize car,6,17,25,20,5,no
ACURA TL,3.7,6.0,Man-6,4WD,Gasoline,FA,midsize car,6,17,25,20,5,no
ACURA TSX,2.4,4.0,Man-6,2WD,Gasoline,CA,small car,7,20,28,23,6,yes
ACURA TSX,2.4,4.0,SemiAuto-5,2WD,Gasoline,CA,small car,7,21,30,25,7,yes
ACURA TSX,3.5,6.0,SemiAuto-5,2WD,Gasoline,CA,small car,7,18,27,21,5,no
ACURA TSX,2.4,4.0,Man-6,2WD,Gasoline,FA,small car,6,20,28,23,6,no
