model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,CA,SUV,7.0,19,24,21,5.0,no,low,medium,mod_high,mod_high,medium,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,CA,SUV,7.0,17,22,19,4.0,no,low,medium,mod_high,medium,medium,medium,medium
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,FA,SUV,6.0,19,24,21,5.0,no,low,medium,mod_high,mod_high,medium,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,FA,SUV,6.0,17,22,19,4.0,no,low,medium,mod_high,medium,medium,medium,medium
ACURA RL,3.7,6.0,SemiAuto-5,4WD,Gasoline,CA,midsize car,7.0,16,22,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
ACURA RL,3.7,6.0,SemiAuto-5,4WD,Gasoline,FA,midsize car,6.0,16,22,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
ACURA TL,3.5,6.0,SemiAuto-5,2WD,Gasoline,CA,midsize car,7.0,18,26,21,5.0,no,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA TL,3.7,6.0,SemiAuto-5,4WD,Gasoline,CA,midsize car,7.0,17,25,20,5.0,no,mod_high,mod_high,mod_high,medium,mod_high,mod_high,mod_high
ACURA TL,3.7,6.0,Man-6,4WD,Gasoline,CA,midsize car,7.0,17,25,20,5.0,no,mod_high,mod_high,mod_high,medium,mod_high,mod_high,mod_high
ACURA TL,3.5,6.0,SemiAuto-5,2WD,Gasoline,FA,midsize car,6.0,18,26,21,5.0,no,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA TL,3.7,6.0,SemiAuto-5,4WD,Gasoline,FA,midsize car,6.0,17,25,20,5.0,no,mod_high,mod_high,mod_high,medium,mod_high,mod_high,mod_high
ACURA TL,3.7,6.0,Man-6,4WD,Gasoline,FA,midsize car,6.0,17,25,20,5.0,no,mod_high,mod_high,mod_high,medium,mod_high,mod_high,mod_high
ACURA TSX,2.4,4.0,Man-6,2WD,Gasoline,CA,small car,7.0,20,28,23,6.0,yes,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA TSX,2.4,4.0,SemiAuto-5,2WD,Gasoline,CA,small car,7.0,21,30,25,7.0,yes,medium,medium,mod_high,mod_high,high,high,mod_high
ACURA TSX,3.5,6.0,SemiAuto-5,2WD,Gasoline,CA,small car,7.0,18,27,21,5.0,no,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA TSX,2.4,4.0,Man-6,2WD,Gasoline,FA,small car,6.0,20,28,23,6.0,no,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA TSX,2.4,4.0,SemiAuto-5,2WD,Gasoline,FA,small car,6.0,21,30,25,7.0,yes,medium,medium,mod_high,mod_high,high,high,mod_high
ACURA TSX,3.5,6.0,SemiAuto-5,2WD,Gasoline,FA,small car,6.0,18,27,21,5.0,no,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA ZDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,16,23,19,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
ACURA ZDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,16,23,19,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium
ASTON MARTIN DB9,5.9,12.0,Man-6,2WD,Gasoline,FA,small car,6.0,11,17,13,0.0,no,high,high,mod_high,low,low,low,low
ASTON MARTIN DB9,5.9,12.0,SemiAuto-6,2WD,Gasoline,FA,small car,6.0,13,20,15,2.0,no,high,high,mod_high,low,low,low,low
ASTON MARTIN DB9,5.9,12.0,Man-6,2WD,Gasoline,CA,small car,6.0,11,17,13,0.0,no,high,high,mod_high,low,low,low,low
ASTON MARTIN DB9,5.9,12.0,SemiAuto-6,2WD,Gasoline,CA,small car,6.0,13,20,15,2.0,no,high,high,mod_high,low,low,low,low
