model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
ACURA ILX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,24,34,28,6,No
ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,3,26,27,27,6,No
ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small SUV,3,20,27,23,5,No
ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,3,19,26,22,4,No
ACURA MDX A-spec,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,3,19,25,21,4,No
ACURA NSX,3.5,6.0,AMS-9,4WD,Gasoline,small car,3,21,22,21,4,No
ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,small SUV,6,22,28,24,5,No
ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,6,21,27,23,5,No
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,2WD,Gasoline,small SUV,6,22,27,24,5,No
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,6,21,26,23,5,No
ACURA RLX,3.5,6.0,AMS-7,4WD,Gasoline,midsize car,7,28,29,28,6,No
ACURA RLX,3.5,6.0,SemiAuto-10,2WD,Gasoline,midsize car,3,20,29,23,5,No
ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23,33,27,6,No
ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20,31,24,5,No
ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No
ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No
ACURA TLX FWD A-SPEC,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23,32,26,5,No
ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20,30,23,5,No
ALFA ROMEO 4C,1.8,4.0,AutoMan-6,2WD,Gasoline,small car,1,24,34,28,6,No
ALFA ROMEO Giulia,2.0,4.0,Auto-8,2WD,Gasoline,midsize car,3,24,33,27,6,No
ALFA ROMEO Giulia,2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3,17,25,20,4,No
ALFA ROMEO Giulia AWD,2.0,4.0,Auto-8,4WD,Gasoline,midsize car,3,23,31,26,5,No
ALFA ROMEO Stelvio,2.0,4.0,Auto-8,2WD,Gasoline,small SUV,3,22,29,25,5,No
ALFA ROMEO Stelvio AWD,2.0,4.0,Auto-8,4WD,Gasoline,small SUV,3,22,28,24,5,No
ALFA ROMEO Stelvio AWD,2.9,6.0,Auto-8,4WD,Gasoline,small SUV,3,17,23,19,3,No
ASTON MARTIN DB11,4.0,8.0,SemiAuto-8,2WD,Gasoline,small car,3,18,24,20,4,No
ASTON MARTIN DB11,5.2,12.0,SemiAuto-8,2WD,Gasoline,small car,3,15,22,18,3,No
ASTON MARTIN DBS,5.2,12.0,SemiAuto-8,2WD,Gasoline,small car,3,14,22,17,3,No
ASTON MARTIN Vantage,4.0,8.0,SemiAuto-8,2WD,Gasoline,small car,3,18,24,20,4,No
ASTON MARTIN Vantage Manual,4.0,8.0,Man-7,2WD,Gasoline,small car,3,14,21,20,4,No
AUDI A3,2.0,4.0,AMS-7,2WD,Gasoline,small car,7,27,36,30,7,Yes
