model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
ACURA ILX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,24,34,28,6,No,medium,medium,medium,mod_high,high,high,mod_high
ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,3,26,27,27,6,No,mod_high,mod_high,medium,high,mod_high,mod_high,mod_high
ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small SUV,3,20,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,3,19,26,22,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
ACURA MDX A-spec,3.5,6.0,SemiAuto-9,4WD,Gasoline,small SUV,3,19,25,21,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
ACURA NSX,3.5,6.0,AMS-9,4WD,Gasoline,small car,3,21,22,21,4,No,mod_high,mod_high,medium,mod_high,low,medium,medium
ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,small SUV,6,22,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,6,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,2WD,Gasoline,small SUV,6,22,27,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX A-SPEC,2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,6,21,26,23,5,No,medium,medium,mod_high,mod_high,medium,mod_high,mod_high
ACURA RLX,3.5,6.0,AMS-7,4WD,Gasoline,midsize car,7,28,29,28,6,No,mod_high,mod_high,high,high,mod_high,high,mod_high
ACURA RLX,3.5,6.0,SemiAuto-10,2WD,Gasoline,midsize car,3,20,29,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA TLX,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23,33,27,6,No,medium,medium,medium,mod_high,high,mod_high,mod_high
ACURA TLX,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20,31,24,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA TLX,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA TLX AWD A-SPEC,3.5,6.0,SemiAuto-9,4WD,Gasoline,small car,3,20,29,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA TLX FWD A-SPEC,2.4,4.0,AMS-8,2WD,Gasoline,small car,3,23,32,26,5,No,medium,medium,medium,mod_high,mod_high,mod_high,mod_high
ACURA TLX FWD A-SPEC,3.5,6.0,SemiAuto-9,2WD,Gasoline,small car,3,20,30,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
