model_2010,displ_2010,cyl_2010,trans_2010,drive_2010,fuel_2010,cert_region_2010,veh_class_2010,air_pollution_score_2010,city_mpg_2010,hwy_mpg_2010,cmb_mpg_2010,greenhouse_gas_score_2010,smartway_2010,displ_level_2010,cyl_level_2010,air_pollution_score_level_2010,city_mpg_level_2010,hwy_mpg_level_2010,cmb_mpg_level_2010,greenhouse_gas_score_level_2010,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,displ_level,cyl_level,air_pollution_score_level,city_mpg_level,hwy_mpg_level,cmb_mpg_level,greenhouse_gas_score_level
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,CA,small SUV,3,26,27,27,6,No,mod_high,mod_high,medium,high,mod_high,mod_high,mod_high
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,FA,small SUV,3,26,27,27,6,No,mod_high,mod_high,medium,high,mod_high,mod_high,mod_high
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,CA,small SUV,3,20,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,FA,small SUV,3,20,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,small SUV,3,19,26,22,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,CA,SUV,7.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,FA,small SUV,3,19,26,22,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,CA,small SUV,3,26,27,27,6,No,mod_high,mod_high,medium,high,mod_high,mod_high,mod_high
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.0,6.0,AMS-7,4WD,Gasoline,FA,small SUV,3,26,27,27,6,No,mod_high,mod_high,medium,high,mod_high,mod_high,mod_high
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,CA,small SUV,3,20,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.5,6.0,SemiAuto-9,2WD,Gasoline,FA,small SUV,3,20,27,23,5,No,mod_high,mod_high,medium,mod_high,mod_high,mod_high,mod_high
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,small SUV,3,19,26,22,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
ACURA MDX,3.7,6.0,SemiAuto-6,4WD,Gasoline,FA,SUV,6.0,16,21,18,4.0,no,mod_high,mod_high,mod_high,medium,medium,medium,medium,ACURA MDX,3.5,6.0,SemiAuto-9,4WD,Gasoline,FA,small SUV,3,19,26,22,4,No,mod_high,mod_high,medium,medium,medium,medium,medium
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,CA,SUV,7.0,19,24,21,5.0,no,low,medium,mod_high,mod_high,medium,mod_high,mod_high,ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,CA,small SUV,6,22,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,CA,SUV,7.0,19,24,21,5.0,no,low,medium,mod_high,mod_high,medium,mod_high,mod_high,ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,FA,small SUV,6,22,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,CA,SUV,7.0,19,24,21,5.0,no,low,medium,mod_high,mod_high,medium,mod_high,mod_high,ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,CA,small SUV,6,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,2WD,Gasoline,CA,SUV,7.0,19,24,21,5.0,no,low,medium,mod_high,mod_high,medium,mod_high,mod_high,ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,FA,small SUV,6,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,CA,SUV,7.0,17,22,19,4.0,no,low,medium,mod_high,medium,medium,medium,medium,ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,CA,small SUV,6,22,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,CA,SUV,7.0,17,22,19,4.0,no,low,medium,mod_high,medium,medium,medium,medium,ACURA RDX,2.0,4.0,SemiAuto-10,2WD,Gasoline,FA,small SUV,6,22,28,24,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
ACURA RDX,2.3,4.0,SemiAuto-5,4WD,Gasoline,CA,SUV,7.0,17,22,19,4.0,no,low,medium,mod_high,medium,medium,medium,medium,ACURA RDX,2.0,4.0,SemiAuto-10,4WD,Gasoline,CA,small SUV,6,21,27,23,5,No,medium,medium,mod_high,mod_high,mod_high,mod_high,mod_high
